LocationType,Location,Single Age,TimeFrame,DataFormat,Data
State,Ohio,<1,1992,Number,160453
State,Oklahoma,<1,1992,Number,46670
State,Oregon,<1,1992,Number,41431
State,Pennsylvania,<1,1992,Number,161464
State,Rhode Island,<1,1992,Number,14414
State,South Carolina,<1,1992,Number,54673
State,South Dakota,<1,1992,Number,10723
State,Tennessee,<1,1992,Number,72168
State,Texas,<1,1992,Number,313771
State,Utah,<1,1992,Number,36162
State,Vermont,<1,1992,Number,7563
State,Virginia,<1,1992,Number,94191
State,Washington,<1,1992,Number,78682
State,West Virginia,<1,1992,Number,21845
State,Wisconsin,<1,1992,Number,67927
State,Wyoming,<1,1992,Number,6551
Territory,Puerto Rico,<1,1992,Number,N.A.
Territory,Puerto Rico,<1,1993,Number,N.A.
State,Wyoming,<1,1993,Number,6408
State,Wisconsin,<1,1993,Number,65709
State,West Virginia,<1,1993,Number,21404
State,Washington,<1,1993,Number,76889
State,Virginia,<1,1993,Number,92250
State,Vermont,<1,1993,Number,7281
State,Utah,<1,1993,Number,36622
State,Texas,<1,1993,Number,313363
State,Tennessee,<1,1993,Number,71295
State,South Dakota,<1,1993,Number,10371
State,South Carolina,<1,1993,Number,52616
State,Rhode Island,<1,1993,Number,14115
State,Pennsylvania,<1,1993,Number,157349
State,Oregon,<1,1993,Number,40610
State,Oklahoma,<1,1993,Number,45197
State,Ohio,<1,1993,Number,156254
State,North Dakota,<1,1993,Number,8423
State,North Carolina,<1,1993,Number,99056
State,New York,<1,1993,Number,274800
State,New Mexico,<1,1993,Number,27394
State,New Jersey,<1,1993,Number,115716
State,New Hampshire,<1,1993,Number,15327
State,Nevada,<1,1993,Number,22056
State,Nebraska,<1,1993,Number,22424
State,Montana,<1,1993,Number,11148
State,Missouri,<1,1993,Number,73227
State,Mississippi,<1,1993,Number,40878
State,Minnesota,<1,1993,Number,63664
State,Michigan,<1,1993,Number,137471
State,Massachusetts,<1,1993,Number,83246
State,Maryland,<1,1993,Number,74485
State,Maine,<1,1993,Number,14943
State,Louisiana,<1,1993,Number,66708
State,Kentucky,<1,1993,Number,51910
State,Kansas,<1,1993,Number,36357
State,Iowa,<1,1993,Number,37103
State,Indiana,<1,1993,Number,81843
State,Illinois,<1,1993,Number,184208
State,Idaho,<1,1993,Number,17327
State,Hawaii,<1,1993,Number,18666
State,Georgia,<1,1993,Number,107248
State,Florida,<1,1993,Number,187656
