LocationType,Location,Age group,TimeFrame,DataFormat,Data
Nation,United States,Total,2021,Number,744898
State,Alabama,<3,2021,Number,3661
State,Alabama,3,2021,Number,4170
State,Alabama,4,2021,Number,4583
State,Alabama,5 years and older,2021,Number,56
State,Alabama,Total,2021,Number,12470
State,Alabama,3,2016,Number,6779
State,Alabama,<3,2016,Number,3262
State,Alabama,4,2016,Number,9570
State,Alabama,5 years and older,2016,Number,150
State,Alabama,Total,2016,Number,19761
State,Alabama,<3,2017,Number,3088
State,Alabama,3,2017,Number,6273
State,Alabama,4,2017,Number,7891
State,Alabama,5 years and older,2017,Number,171
State,Alabama,Total,2017,Number,17423
State,Alabama,<3,2019,Number,3715
State,Alabama,3,2019,Number,6225
State,Alabama,4,2019,Number,7026
State,Alabama,5 years and older,2019,Number,126
State,Alabama,Total,2019,Number,17092
State,Alabama,Total,2014,Number,19139
State,Alabama,5 years and older,2014,Number,153
State,Alabama,4,2014,Number,10427
State,Alabama,<3,2014,Number,2346
State,Alabama,3,2014,Number,6213
State,Alabama,4,2012,Number,10941
State,Alabama,5 years and older,2012,Number,909
State,Alabama,Total,2012,Number,20010
State,Alabama,3,2012,Number,6208
State,Alabama,<3,2012,Number,1952
State,Alabama,Total,2011,Number,19823
State,Alabama,5 years and older,2011,Number,173
State,Alabama,4,2011,Number,11112
State,Alabama,<3,2011,Number,1929
State,Alabama,3,2011,Number,6609
State,Alabama,<3,2015,Number,2303
State,Alabama,4,2015,Number,9600
State,Alabama,3,2015,Number,6752
State,Alabama,5 years and older,2015,Number,186
State,Alabama,Total,2015,Number,18841
State,Alabama,<3,2010,Number,1810
State,Alabama,Total,2010,Number,19755
State,Alabama,5 years and older,2010,Number,344
State,Alabama,3,2010,Number,6721
State,Alabama,4,2010,Number,10880
State,Alabama,<3,1988,Number,169
State,Alabama,4,1988,Number,7039
State,Alabama,3,1988,Number,2495
State,Alabama,5 years and older,1988,Number,1622
State,Alabama,Total,1988,Number,11325
State,Alabama,<3,2009,Number,1040
State,Alabama,Total,2009,Number,18984
State,Alabama,5 years and older,2009,Number,244
State,Alabama,3,2009,Number,6654
State,Alabama,4,2009,Number,11046
State,Alabama,<3,2018,Number,2635
State,Alabama,3,2018,Number,6564
State,Alabama,4,2018,Number,7247
State,Alabama,5 years and older,2018,Number,170
